1979-01-16,18,19.5677,20.000
1979-02-16,26,42.541,31.000
1979-03-16,46,71.4805,52.000
1979-04-16,61,62.332,61.000
1979-05-16,135,83.6408,90.000
1979-06-16,68,153.67,184.000
1979-07-16,22,98.8162,61.000
1979-08-16,9,27.5682,13.000
1979-09-16,4,14.4631,5.000
1979-10-16,7,10.9721,7.000
1979-11-16,7,9.72683,10.000
1979-12-16,7,9.49931,13.000
1980-01-16,143,115.262,136.000
1980-02-16,130,122.51,119.000
1980-03-16,93,110.316,93.000
1980-04-16,96,46.5698,51.000
1980-05-16,127,75.6795,72.000
1980-06-16,154,105.316,68.000
1980-07-16,89,190.97,147.000
1980-08-16,23,96.6679,34.000
1980-09-16,8,28.2345,16.000
1980-10-16,6,16.0704,10.000
1980-11-16,5,11.3035,11.000
1980-12-16,9,10.151,14.000
1981-01-16,9,8.60433,14.000
1981-02-16,17,13.234,14.000
1981-03-16,25,29.6384,28.000
1981-04-16,51,46.2713,49.000
1981-05-16,72,85.7827,102.000
1981-06-16,39,70.293,39.000
1981-07-16,10,22.9413,10.000
1981-08-16,3,12.6752,3.000
1981-09-16,2,8.98896,2.000
1981-10-16,5,7.42262,3.000
1981-11-16,12,6.51258,4.000
1981-12-16,15,6.97731,7.000
1982-01-16,33,26.28,20.000
1982-02-16,40,40.9047,27.000
1982-03-16,63,85.7675,65.000
1982-04-16,191,182.491,191.000
1982-05-16,173,128.32,162.000
1982-06-16,119,138.919,144.000
1982-07-16,66,85.2005,44.000
1982-08-16,23,39.4048,23.000
1982-09-16,33,19.3065,8.000
1982-10-16,35,30.2965,35.000
1982-11-16,52,39.2374,49.000
1982-12-16,87,82.4917,83.000
1983-01-16,95,95.6339,95.000
1983-02-16,119,131.663,130.000
1983-03-16,173,195.812,173.000
1983-04-16,100,97.0013,106.000
1983-05-16,203,108.111,127.000
1983-06-16,284,215.842,284.000
1983-07-16,162,216.207,175.000
1983-08-16,69,114.263,37.000
1983-09-16,25,37.4337,25.000
1983-10-16,16,22.1397,28.000
1983-11-16,44,26.475,44.000
1983-12-16,69,70.6637,69.000
1984-01-16,45,74.3435,51.000
1984-02-16,38,45.2695,33.000
1984-03-16,48,55.7185,46.000
1984-04-16,54,54.9323,54.000
1984-05-16,110,85.5785,90.000
1984-06-16,49,102.978,63.000
1984-07-16,28,35.9336,18.000
1984-08-16,11,17.9016,7.000
1984-09-16,5,11.6861,4.000
1984-10-16,8,9.40373,5.000
1984-11-16,15,8.46342,10.000
1984-12-16,15,15.3101,17.000
1985-01-16,18,17.6105,18.000
1985-02-16,21,18.9612,18.000
1985-03-16,29,30.8526,29.000
1985-04-16,74,63.4945,63.000
1985-05-16,90,105.598,114.000
1985-06-16,44,98.9732,62.000
1985-07-16,10,30.2987,11.000
1985-08-16,3,14.9669,4.000
1985-09-16,5,10.4269,3.000
1985-10-16,6,8.57609,4.000
1985-11-16,11,7.31562,6.000
1985-12-16,23,17.919,23.000
1986-01-16,34,29.6753,29.000
1986-02-16,144,187.477,144.000
1986-03-16,152,171.153,152.000
1986-04-16,106,96.2992,100.000
1986-05-16,152,105.9,117.000
1986-06-16,125,174.263,247.000
1986-07-16,44,110.911,74.000
1986-08-16,14,31.6846,17.000
1986-09-16,6,15.6403,8.000
1986-10-16,9,13.1118,8.000
1986-11-16,6,10.6707,11.000
1986-12-16,6,9.54709,13.000
1987-01-16,8,8.30891,14.000
1987-02-16,14,13.5244,17.000
1987-03-16,21,35.9683,31.000
1987-04-16,45,45.6406,45.000
1987-05-16,49,82.8392,89.000
1987-06-16,24,30.7193,22.000
1987-07-16,8,17.2847,8.000
1987-08-16,2,11.5543,2.000
1987-09-16,2,8.52438,2.000
1987-10-16,3,7.13588,2.000
1987-11-16,6,6.49787,4.000
1987-12-16,9,6.71229,6.000
1988-01-16,20,18.7531,19.000
1988-02-16,13,17.4681,17.000
1988-03-16,23,25.4263,23.000
1988-04-16,34,46.8326,51.000
1988-05-16,47,54.6389,52.000
1988-06-16,22,56.5741,30.000
1988-07-16,5,25.6609,11.000
1988-08-16,2,13.9981,4.000
1988-09-16,2,9.9854,3.000
1988-10-16,2,8.15467,3.000
1988-11-16,5,6.73331,5.000
1988-12-16,7,6.77094,7.000
1989-01-16,8,8.08733,12.000
1989-02-16,12,9.72585,13.000
1989-03-16,34,45.6501,45.000
1989-04-16,61,73.5745,74.000
1989-05-16,52,71.0439,71.000
1989-06-16,24,57.4949,36.000
1989-07-16,5,24.527,10.000
1989-08-16,2,13.2638,3.000
1989-09-16,3,9.47457,2.000
1989-10-16,3,8.04389,3.000
1989-11-16,3,6.93302,5.000
1989-12-16,4,7.07289,8.000
1990-01-16,6,6.97079,7.000
1990-02-16,7,6.54342,12.000
